"","listing_id","id","date","reviewer_id","reviewer_name","comments"
"1039313",19933846,214110664,"2017-11-24",156484106,"Huang","it has great environment and great location. That’s wonderful to living in."
"1250151",24121016,368377879,"2019-01-06",228334028,"Arisa","The place is so nice and clean! 
I was amazed to get her reply quickly when I asked her.
She was always helpful and we enjoyed a lot at her place!"
"471860",7806859,302616789,"2018-08-05",125603405,"Gloria","Honestly,  this place looks way better thank in the pictures. It should not disappoint and the host will give you your space and answer any questions. It was perfect for a simple stay and super clean!!"
"217806",2607712,510159620,"2019-08-15",133594350,"Caterina","I was visiting Hettie with my baby daughter and it was really great. When we arrived Hettie wecomed us at the door. We were cared for very warmly in this house (great talks at the porch,  even having dinner with Hettie and her husband once,  tipps for visiting L.A. and for having breakfast nearby in a lovely little café). We felt at home immediately.  Plus it was very clean which was great because my baby is crawling around everywhere.  It ist situated in a nice neighborhood and  L.A. downtown is easy to reach. All in all I can recommend this room wholeheartedly to everyone who looks for a nice and quiet place in the middle of L.A. that feels like home."
"777758",14838880,445108815,"2019-04-28",38198455,"Judy","Aaron and Mabul were wonderful hosts and their cottage was perfectly appointed. And the gardens! The gardens were amazing and it was such a beautiful, peaceful setting that we never wanted to leave. We can’t wait to come back!"
"437614",6987792,315816314,"2018-08-29",24407605,"Victoria","Great house, very clean, great hosts, easy communication. Would recommend this house and stay here again! Thanks Casey! "
"1224252",23488410,317801167,"2018-09-02",29867646,"Jeff","Fantastic location and a very nice, spacious home. Kourosh was very responsive to all of our questions."
"699899",13432496,527829801,"2019-09-11",164350430,"David","Rebecca’s place has vaulted ceilings which makes the room airy and spacious.  It’s  peaceful, comfortable and clean with the comforts of home: tv, central A/C and WIFI.  She is a great communicator and her place is centrally located near downtown Pasadena’s shops, restaurants, theatres and college. We hope to be repeat guests in the future!"
"496910",8342955,482656462,"2019-07-06",137757502,"Francesca","Highly recommend! Stavros was such a warm host, even had personalized notes and snacks for our welcome. His place is beautiful and clean, and in such a nice and safe neighborhood! The room smelled like essential oils and was so relaxing to come home to after a long tiring day. Perfect place to stay even if you’re travelling closer to LA; drive isn’t too bad and a relaxing getaway for a good great value! 5/5 stars!!"
"820352",15721641,449871794,"2019-05-07",16550705,"Stephanie","Great space, very close to the location and to the Malibu pier. Walking distance to Malibu farm!"
"25542",185950,321177038,"2018-09-09",200628884,"Hiba","It was our first experience in Airbnb and we were so lucky to start at Chris’s place. A very quiet neighborhood. We loved the view from the hilltop. The trailer was clean & perfectly equipped with anything you could need! You should expect that there is no enough space for your baggages but it was ok if you just store it under the bed & take out your important things when needed (; 
I liked the fresh lemon ice cream I found in the freezer. Thank you Chris & Efren"
"1212625",23151139,348403534,"2018-11-13",8821128,"Sue","Great space! Highly recommend"
"163826",1623443,136448833,"2017-03-10",10441949,"Anup","Very close to Venice beach. He is very fast with communication and that's great. Helped us settle in in a short then frame"
"274277",3791415,241343533,"2018-03-08",176850655,"Charlotte","Great space! Very homey! very accommodating! would definitely stay again!"
"1162181",22065392,334368876,"2018-10-08",153837303,"Scott","Nice hideaway as expected."
"1410806",29960701,452726287,"2019-05-13",171336697,"Jin","Meiyee’s place has a comfortable environment and nice location to attractions in LA!"
